JA04-03-AP-00014
PIPING AND INSTRUMENTATION DIAGRAM\JUDY RISER PLATFORM AND BRIDGE\JASMINE HP SEPARATOR
Continuity Labels
Number,Tag,x,y,w,h,Pointing Direction,Location
23,N/A,N/A,COOLERI HEATER,5584,3436,260,36,G4
24,N/A,N/A,RS,4704,3428,48,36,F4
25,Reducer (Horizontal-Right),12,"20""x14""",4480,3416,104,36,E4
26,N/A,N/A,CONDENSATE,5584,3396,200,36,G4
27,N/A,N/A,LO///PB,4608,3364,44,72,E4
28,N/A,N/A,JASMINE,5588,3356,124,36,G4
29,N/A,N/A,MIN,4668,3316,56,32,F4
30,Pipeline,37,10-OP-1031009-DDJ01-HT,5408,3292,336,36,F4
31,N/A,N/A,NO,4180,3268,48,36,E4
32,N/A,N/A,"NOTES 45, 52",5028,3260,184,40,F4
33,N/A,N/A,061-v1192,4292,3224,36,148,E4
34,Reducer (Vertical-Down),17,"6""x3""",3908,3216,72,36,E4
35,Pipeline,82,0.75-DC-0612261-DDJ01-HT,4479,3208,357,36,E4
36,N/A,N/A,NOTE 32,3044,3168,124,36,D4
37,N/A,N/A,"6""",4028,3112,36,36,E4
38,N/A,N/A,N6,3936,3112,44,36,E4
39,N/A,N/A,NSA,2002,3088,58,64,C4
40,N/A,N/A,061-v1189,4444,3076,160,36,E4
41,N/A,N/A,"O,75""",4300,3076,72,36,E4
42,N/A,N/A,"3""///N7",4236,3076,44,72,E4
43,N/A,N/A,N9,3800,3076,44,72,E4
44,N/A,N/A,N15,4652,3068,60,36,F4
45,N/A,N/A,N14,1936,3056,60,36,C4
46,N/A,N/A,"O,75""",2540,2988,72,36,C4
47,N/A,N/A,103-XX1019,2820,2976,238,52,D4
48,N/A,N/A,061-V1081,2676,2976,142,52,C4
49,N/A,N/A,N I,4556,2956,36,32,E4
50,N/A,N/A,103=v1739,2476,2924,140,48,C4
51,N/A,N/A,HT,4556,2908,44,36,E4
52,N/A,N/A,L,3648,2876,24,36,D4
53,N/A,N/A,"O,75""",2436,2876,72,36,C4
54,N/A,N/A,NI,2388,2868,36,32,C4
55,N/A,N/A,HT,2380,2820,44,36,C4
56,N/A,N/A,HT,4556,2720,44,36,E4
57,N/A,N/A,M1,3020,2700,48,68,D4
58,N/A,N/A,N I,4556,2676,36,32,E4
59,Vessel Connection,25,"2""///K1A",4192,2676,84,68,E4
60,N/A,N/A,HT,2356,2620,44,32,C4
61,N/A,N/A,"O,75""",2436,2576,72,36,C3
62,N/A,N/A,N I,2368,2576,32,32,C3
63,N/A,N/A,103-V1073,4268,2568,140,44,E3
64,N/A,N/A,103-VA1001,3148,2544,224,52,D3
65,N/A,N/A,NOTE 53,892,2520,124,36,A3
66,N/A,N/A,N1,1956,2476,40,36,C3
67,N/A,N/A,"O,75""",2700,2444,72,36,C3
68,N/A,N/A,"K5///10""",3772,2440,44,68,E3
69,N/A,N/A,K7,3644,2440,44,68,D3
70,N/A,N/A,"N5///16""",3532,2440,48,68,D3
71,N/A,N/A,K3,3420,2440,44,68,D3
72,N/A,N/A,KG,2932,2440,44,68,D3
73,N/A,N/A,"28""",1940,2424,48,36,C3
74,Reducer (Horizontal-Left),30,"28""x16""",1788,2416,100,36,B3
75,N/A,N/A,JASMINE FLUIDS,188,2404,228,36,A3
76,N/A,N/A,103=v1082,3680,2388,144,48,D3
77,N/A,N/A,103v1075,1600,2384,144,36,B3
78,N/A,N/A,PG,2656,2376,48,36,C3
79,DB&BBV (Vertical-Left),74,"O,75""",2864,2372,72,36,D3
80,N/A,N/A,1 O3-v1 080,1256,2372,140,36,B3
81,N/A,N/A,K9,4608,2364,44,72,E3
82,N/A,N/A,NOTE 1,3840,2364,104,36,E3
83,N/A,N/A,"N2///26""",4308,2360,48,68,E3
84,DB&BBV (Vertical-Left),73,"O,75""",3572,2356,72,36,D3
85,N/A,N/A,103v1083,3020,2356,140,36,D3
86,Pipeline,23,16-OX-1031005-DDJ01-PG,176,2340,340,36,A3
87,N/A,N/A,RS,3188,2336,36,48,D3
88,N/A,N/A,RS,3512,2332,36,48,D3
89,N/A,N/A,LO,2880,2332,44,36,D3
90,N/A,N/A,HO,1040,2316,44,36,B3
91,N/A,N/A,V,2520,2312,28,32,C3
92,N/A,N/A,"3""",2408,2312,32,36,C3
93,N/A,N/A,RS,1148,2276,36,48,B3
94,N/A,N/A,4006,1072,2264,68,36,B3
95,N/A,N/A,NOTES,868,2260,36,112,A3
96,N/A,N/A,1 O3v1 068,2408,2248,140,48,C3
